,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
29,29,0.9989351897567559,2026-06-25 19:48:27.221503,2026-06-25 19:48:28.467383,0 days 00:00:01.245880,0.5050157838518358,0.0407574146903958,6,240,0.5798844931007776,COMPLETE
30,30,0.9989351897567559,2026-06-25 19:48:28.467870,2026-06-25 19:48:30.134621,0 days 00:00:01.666751,0.602046301540485,0.11185168487730428,9,272,0.9574616167597444,COMPLETE
31,31,1.0,2026-06-25 19:48:30.135099,2026-06-25 19:48:31.263046,0 days 00:00:01.127947,0.6055522697816645,0.04091380508273628,6,214,0.8167943964719083,COMPLETE
32,32,1.0,2026-06-25 19:48:31.263463,2026-06-25 19:48:32.386910,0 days 00:00:01.123447,0.6568401587071063,0.05891991514242749,6,208,0.8196795732737803,COMPLETE
33,33,0.9989351897567559,2026-06-25 19:48:32.387371,2026-06-25 19:48:33.266065,0 days 00:00:00.878694,0.5610166548007488,0.09217643010905395,4,183,0.7382447962938052,COMPLETE
34,34,1.0,2026-06-25 19:48:33.266528,2026-06-25 19:48:34.416911,0 days 00:00:01.150383,0.6302369073531153,0.15080966498948986,5,225,0.8423014779053293,COMPLETE
35,35,0.9994694220636775,2026-06-25 19:48:34.417404,2026-06-25 19:48:36.166962,0 days 00:00:01.749558,0.7026014515067254,0.21358575847864894,7,276,0.6953011676206775,COMPLETE
36,36,0.9924330112915282,2026-06-25 19:48:36.167445,2026-06-25 19:48:37.147063,0 days 00:00:00.979618,0.8195821019246211,0.023634246314434598,5,156,0.7921890811090992,COMPLETE
37,37,0.9994694220636775,2026-06-25 19:48:37.147520,2026-06-25 19:48:38.133488,0 days 00:00:00.985968,0.5852953160851936,0.2931325937214074,4,197,0.8758398720251356,COMPLETE
38,38,1.0,2026-06-25 19:48:38.133960,2026-06-25 19:48:39.026536,0 days 00:00:00.892576,0.680620483330102,0.12776518179594748,3,205,0.7591542407293767,COMPLETE
39,39,0.9989351897567559,2026-06-25 19:48:39.027019,2026-06-25 19:48:40.244386,0 days 00:00:01.217367,0.6171857161241522,0.031153565133323416,6,230,0.6442545534749953,COMPLETE
40,40,0.9989351897567559,2026-06-25 19:48:40.244969,2026-06-25 19:48:41.190489,0 days 00:00:00.945520,0.7487676129007212,0.04990245857656445,10,102,0.8935778470413744,COMPLETE
41,41,1.0,2026-06-25 19:48:41.190952,2026-06-25 19:48:42.545255,0 days 00:00:01.354303,0.6799053727855323,0.14261700866922133,4,296,0.9289488333205901,COMPLETE
42,42,1.0,2026-06-25 19:48:42.545785,2026-06-25 19:48:43.622087,0 days 00:00:01.076302,0.70980187741531,0.0765400163884526,3,270,0.8452908825415967,COMPLETE
43,43,1.0,2026-06-25 19:48:43.622548,2026-06-25 19:48:44.447791,0 days 00:00:00.825243,0.9930366985085152,0.17563697476329276,4,141,0.9574836053380716,COMPLETE
44,44,0.9989351897567559,2026-06-25 19:48:44.448301,2026-06-25 19:48:46.028877,0 days 00:00:01.580576,0.6563981034658984,0.21668225437359967,5,286,0.9006019892825905,COMPLETE
45,45,1.0,2026-06-25 19:48:46.029387,2026-06-25 19:48:48.307090,0 days 00:00:02.277703,0.6825869568618304,0.09301233369662272,7,257,0.9342701156036596,COMPLETE
46,46,0.9989351897567559,2026-06-25 19:48:48.307535,2026-06-25 19:48:49.156902,0 days 00:00:00.849367,0.5888865972406181,0.11959784151677538,3,182,0.7596856825508981,COMPLETE
47,47,1.0,2026-06-25 19:48:49.157301,2026-06-25 19:48:50.257005,0 days 00:00:01.099704,0.7883268143356745,0.05808794996721129,6,199,0.7169733860499493,COMPLETE
48,48,1.0,2026-06-25 19:48:50.257430,2026-06-25 19:48:51.429840,0 days 00:00:01.172410,0.6646488841994762,0.04682325234041378,5,243,0.6725717942061427,COMPLETE
49,49,0.9469800768225202,2026-06-25 19:48:51.430268,2026-06-25 19:48:52.468707,0 days 00:00:01.038439,0.6396016381600083,0.0014888521485099014,4,219,0.825216635607006,COMPLETE
50,50,0.9984009404101173,2026-06-25 19:48:52.469133,2026-06-25 19:48:53.474464,0 days 00:00:01.005331,0.5425095594459433,0.03476737476068591,7,163,0.7954097336766011,COMPLETE
51,51,1.0,2026-06-25 19:48:53.474924,2026-06-25 19:48:54.459985,0 days 00:00:00.985061,0.6230098991889335,0.0857611268347348,6,173,0.7354517178247203,COMPLETE
52,52,1.0,2026-06-25 19:48:54.460509,2026-06-25 19:48:55.526824,0 days 00:00:01.066315,0.6354376276865856,0.09766888773423765,6,190,0.7743033486292465,COMPLETE
53,53,1.0,2026-06-25 19:48:55.527345,2026-06-25 19:48:56.327861,0 days 00:00:00.800516,0.7183230453755357,0.1256193249216181,5,127,0.9725354958182478,COMPLETE
54,54,0.9989351897567559,2026-06-25 19:48:56.328323,2026-06-25 19:48:57.293300,0 days 00:00:00.964977,0.8782784343808892,0.06676502536953079,6,159,0.6810567095544493,COMPLETE
55,55,0.9994694220636775,2026-06-25 19:48:57.293737,2026-06-25 19:48:58.415687,0 days 00:00:01.121950,0.6880135230863758,0.20467013331773326,7,172,0.8533003012990908,COMPLETE
56,56,0.9989351897567559,2026-06-25 19:48:58.416156,2026-06-25 19:48:59.507647,0 days 00:00:01.091491,0.6081424179401946,0.2707639874221822,8,141,0.7143419452637321,COMPLETE
57,57,1.0,2026-06-25 19:48:59.508107,2026-06-25 19:49:00.706180,0 days 00:00:01.198073,0.5805395362807741,0.15219094488856216,5,180,0.7460444121397746,COMPLETE
58,58,1.0,2026-06-25 19:49:00.706604,2026-06-25 19:49:01.865498,0 days 00:00:01.158894,0.6534731431820071,0.10787288560443226,6,116,0.9149974718466682,COMPLETE
59,59,1.0,2026-06-25 19:49:01.865978,2026-06-25 19:49:03.484276,0 days 00:00:01.618298,0.6969905893631646,0.07810353257980711,7,204,0.8867937301922166,COMPLETE
60,60,0.9935126443879148,2026-06-25 19:49:03.484840,2026-06-25 19:49:04.241251,0 days 00:00:00.756411,0.7450804636316828,0.054097901167473,3,152,0.8100770860510146,COMPLETE
61,61,1.0,2026-06-25 19:49:04.241733,2026-06-25 19:49:05.242991,0 days 00:00:01.001258,0.6422430363147507,0.18444049473748994,6,167,0.7850448539170328,COMPLETE
62,62,1.0,2026-06-25 19:49:05.243511,2026-06-25 19:49:06.445078,0 days 00:00:01.201567,0.6654810441814134,0.24080937863066923,6,193,0.8022552045891138,COMPLETE
63,63,1.0,2026-06-25 19:49:06.445558,2026-06-25 19:49:07.026550,0 days 00:00:00.580992,0.562372908159884,0.1665999630340035,5,72,0.767634724612579,COMPLETE
64,64,1.0,2026-06-25 19:49:07.027080,2026-06-25 19:49:08.006701,0 days 00:00:00.979621,0.6218427264976802,0.1296677604177373,7,147,0.7492153580407741,COMPLETE
65,65,1.0,2026-06-25 19:49:08.007224,2026-06-25 19:49:08.845089,0 days 00:00:00.837865,0.5971615250927038,0.10582987779936924,6,134,0.8314645802934275,COMPLETE
66,66,1.0,2026-06-25 19:49:08.845532,2026-06-25 19:49:09.874861,0 days 00:00:01.029329,0.6456890359621986,0.06535444767996919,6,187,0.8620067480601139,COMPLETE
67,67,1.0,2026-06-25 19:49:09.875286,2026-06-25 19:49:11.052827,0 days 00:00:01.177541,0.7265484984334678,0.08759894360123224,5,219,0.71815487056073,COMPLETE
68,68,1.0,2026-06-25 19:49:11.053290,2026-06-25 19:49:12.253497,0 days 00:00:01.200207,0.6757224940581698,0.19133589754905272,4,238,0.8059606782548129,COMPLETE
69,69,0.9984009404101173,2026-06-25 19:49:12.253982,2026-06-25 19:49:13.118195,0 days 00:00:00.864213,0.626169987168624,0.04486968416920362,5,157,0.8789113702232945,COMPLETE
70,70,0.9994694220636775,2026-06-25 19:49:13.118927,2026-06-25 19:49:14.715592,0 days 00:00:01.596665,0.6087857298891298,0.03612711174563659,8,284,0.9111924040996094,COMPLETE
71,71,0.9994694220636775,2026-06-25 19:49:14.716023,2026-06-25 19:49:16.214435,0 days 00:00:01.498412,0.7640994003244489,0.15434531711819008,9,225,0.6885938912452282,COMPLETE
