Model,AUC-ROC,AUC-PRC,Sens@Spec90,NNT_Optimal,NRI_vs_Framingham,IDI_vs_ASCVD
XGBoost,0.46335447498238197,0.11685903549618373,0.023255813953488372,23.900709219858154,-0.04041785847531401,-0.03685429371072828
RandomForest,0.43734195580980806,0.11175091038708171,0.03488372093023256,24.238683127572017,-0.041972391493595274,-0.03862129129272204
SVC,0.44992330970443145,0.11301871977993598,0.03488372093023256,23.424657534246577,-0.1183310533515732,-0.05050022805211769
Framingham,0.5475272561455872,0.19271791228653037,0.11627906976744186,19.195402298850574,,
ASCVD,0.5650416614848899,0.1774206403584946,0.13953488372093023,19.523809523809522,,
