Species,IUCN_Status
Leptopelis parkeri,
Leptopelis parvus,
Leptopelis ragazzii,
Leptopelis rufus,
Leptopelis spiritusnoctis,
Leptopelis susanae,
Leptopelis uluguruensis,
Leptopelis vannutellii,
Leptopelis vermiculatus,
Leptopelis viridis,
Leptopelis xenodactylus,
Leptopelis yaldeni,
Leptopelis zebra,
Barbourula busuangensis,
Barbourula kalimantanensis,
Bombina bombina,
Bombina lichuanensis,
Bombina maxima,
Bombina orientalis,
Bombina pachypus,
Bombina variegata,
Brachycephalus alipioi,
Brachycephalus atelopoide,
Brachycephalus brunneus,
Brachycephalus bufonoides,
Brachycephalus didactylus,
Brachycephalus ephippium,
Brachycephalus ferruginus,
Brachycephalus garbeanus,
Brachycephalus hermogenesi,
Brachycephalus Izecksohni,
Brachycephalus nodoterga,
Brachycephalus pernix,
Brachycephalus pitanga,
Brachycephalus pombali,
Brachycephalus pulex,
Brachycephalus toby,
Brachycephalus vertebralis,
Ischnocnema bilineata,
Ischnocnema bolbodactyla,
Ischnocnema concolor,
Ischnocnema epipeda,
Ischnocnema erythromera,LEAST_CONCERN
Ischnocnema gehrti,
Ischnocnema gualteri,
Ischnocnema guentheri,NEAR_THREATENED
Ischnocnema henselii,LEAST_CONCERN
Ischnocnema hoehnei,LEAST_CONCERN
Ischnocnema holti,LEAST_CONCERN
Ischnocnema Izecksohni,
Ischnocnema juipoca,LEAST_CONCERN
Ischnocnema lactea,
Ischnocnema manezinho,
Ischnocnema melanopygia,
Ischnocnema nasuta,
Ischnocnema nigriventris,
Ischnocnema octavioi,
Ischnocnema oea,
Ischnocnema paranaensis,
Ischnocnema parva,LEAST_CONCERN
Ischnocnema paulodutrai,
Ischnocnema penaxavantinho,LEAST_CONCERN
Ischnocnema pusilla,DATA_DEFICIENT
Ischnocnema ramagii,
Ischnocnema randorum,
Ischnocnema sambaqui,
Ischnocnema spanios,LEAST_CONCERN
Ischnocnema surda,LEAST_CONCERN
Ischnocnema venancioi,
Ischnocnema verrucosa,
Ischnocnema vinhai,
Ischnocnema vizottoi,
Balebreviceps hillmani,
Breviceps acutirostris,
Breviceps adspersus,
Breviceps bagginsi,
Breviceps fichus,
Breviceps fuscus,
Breviceps gibbosus,
Breviceps macrops,
Breviceps montanus,
Breviceps mossambicus,
Breviceps namaquensis,
Breviceps poweri,
Breviceps rosei,
Breviceps sopranus,
Breviceps sylvestris,
Breviceps verrucosus,
Callulina dawida,
Callulina hanseni,
Callulina kanga,
Callulina kisiwamsitu,
Callulina kreffti,
Callulina laphami,
Callulina shengena,CRITICALLY_ENDANGERED
Callulina stanleyi,
Probreviceps durirostris,
Probreviceps loveridgei,
Probreviceps macrodactylus,
Probreviceps rhodesianus,
Probreviceps rungwensis,
Probreviceps uluguruensis,
Spelaeophryne methneri,
Bufo pentoni,
Bufo tihamicus,
Adenomus dasi,
Adenomus kandianus,
Adenomus kelaartii,
Altiphrynoides malcolmi,
Altiphrynoides osgoodi,
Amietophrynus asmarae,
Amietophrynus blanfordii,
Amietophrynus brauni,
Amietophrynus buchneri,
Amietophrynus camerunensis,
Amietophrynus chudeaui,
Amietophrynus cristiglans,
Amietophrynus danielae,
Amietophrynus djohongensis,
Amietophrynus fuliginatus,
Amietophrynus funereus,
Amietophrynus garmani,
Amietophrynus gracilipes,
Amietophrynus gutturalis,
Amietophrynus kassasii,
Amietophrynus kerinyagae,
Amietophrynus kisoloensis,
Amietophrynus langanoensis,
Amietophrynus latifrons,
Amietophrynus lemairii,
Amietophrynus maculatus,
Amietophrynus mauritanicus,
Amietophrynus pantherinus,
Amietophrynus pardalis,
Amietophrynus perreti,
Amietophrynus poweri,
Amietophrynus rangeri,
Amietophrynus reesi,
Amietophrynus regularis,
Amietophrynus steindachneri,
Amietophrynus superciliaris,
Amietophrynus taiensis,
Amietophrynus togoensis,
Amietophrynus tuberosus,
Amietophrynus turkanae,
Amietophrynus urunguensis,
Amietophrynus villiersi,
Amietophrynus vittatus,
Amietophrynus xeros,
Anaxyrus americanus,LEAST_CONCERN
Anaxyrus baxteri,
Anaxyrus boreas,
Anaxyrus californicus,ENDANGERED
Anaxyrus canorus,VULNERABLE
Anaxyrus cognatus,
Anaxyrus compactilis,
Anaxyrus debilis,LEAST_CONCERN
Anaxyrus exsul,
Anaxyrus fowleri,LEAST_CONCERN
Anaxyrus hemiophrys,
Anaxyrus houstonensis,
Anaxyrus kelloggi,
Anaxyrus mexicanus,LEAST_CONCERN
Anaxyrus microscaphus,
Anaxyrus nelsoni,CRITICALLY_ENDANGERED
Anaxyrus punctatus,LEAST_CONCERN
Anaxyrus quercicus,LEAST_CONCERN
Anaxyrus retiformis,
Anaxyrus speciosus,
Anaxyrus terrestris,
Anaxyrus woodhousii,
Andinophryne atelopoides,
Andinophryne colomai,
Andinophryne olallai,
Ansonia albomaculata,
Ansonia echinata,
Ansonia endauensis,
Ansonia fuliginea,
Ansonia glandulosa,LEAST_CONCERN
Ansonia guibei,CRITICALLY_ENDANGERED
Ansonia hanitschi,
Ansonia inthanon,
Ansonia jeetsukumarani,
Ansonia kraensis,LEAST_CONCERN
Ansonia latidisca,
Ansonia latiffi,
Ansonia latirostra,
Ansonia leptopus,
Ansonia longidigita,
Ansonia malayana,
Ansonia mcgregori,
Ansonia minuta,
Ansonia muelleri,LEAST_CONCERN
Ansonia penangensis,
Ansonia platysoma,NEAR_THREATENED
Ansonia siamensis,ENDANGERED
Ansonia spinulifer,
Ansonia tiomanica,
Ansonia torrentis,
Atelopus andinus,
Atelopus angelito,
Atelopus ardila,
Atelopus arsyecue,
Atelopus arthuri,CRITICALLY_ENDANGERED
Atelopus balios,
Atelopus barbotini,LEAST_CONCERN
Atelopus bomolochos,
Atelopus boulengeri,CRITICALLY_ENDANGERED
Atelopus carauta,DATA_DEFICIENT
Atelopus carbonerensis,CRITICALLY_ENDANGERED
Atelopus carrikeri,
Atelopus certus,
Atelopus chiriquiensis,
Atelopus chirripoensis,
Atelopus chocoensis,
Atelopus chrysocorallus,
Atelopus coynei,
Atelopus cruciger,
Atelopus dimorphus,
Atelopus ebenoides,
Atelopus elegans,ENDANGERED
Atelopus epikeisthos,CRITICALLY_ENDANGERED
Atelopus erythropus,
Atelopus eusebianus,
Atelopus eusebiodiazi,
Atelopus exiguus,
Atelopus famelicus,CRITICALLY_ENDANGERED
Atelopus farci,
Atelopus flavescens,
Atelopus franciscus,LEAST_CONCERN
Atelopus galactogaster,DATA_DEFICIENT
Atelopus gigas,CRITICALLY_ENDANGERED
Atelopus glyphus,CRITICALLY_ENDANGERED
Atelopus guanujo,CRITICALLY_ENDANGERED
Atelopus guitarraensis,DATA_DEFICIENT
Atelopus halihelos,CRITICALLY_ENDANGERED
Atelopus hoogmoedi,
Atelopus ignescens,CRITICALLY_ENDANGERED
Atelopus laetissimus,ENDANGERED
Atelopus limosus,
Atelopus longibrachius,
Atelopus longirostris,
Atelopus lozanoi,
Atelopus lynchi,CRITICALLY_ENDANGERED
Atelopus mandingues,DATA_DEFICIENT
Atelopus marinkellei,CRITICALLY_ENDANGERED
Atelopus mindoensis,CRITICALLY_ENDANGERED
Atelopus minutulus,
Atelopus mittermeieri,
Atelopus monohernandezii,CRITICALLY_ENDANGERED
Atelopus mucubajiensis,
Atelopus muisca,
Atelopus nahumae,ENDANGERED
Atelopus nanay,CRITICALLY_ENDANGERED
Atelopus nepiozomus,
Atelopus nicefori,CRITICALLY_ENDANGERED
Atelopus onorei,CRITICALLY_ENDANGERED
Atelopus orcesi,
Atelopus oxapampae,
Atelopus oxyrhynchus,CRITICALLY_ENDANGERED
Atelopus pachydermus,
Atelopus palmatus,
Atelopus pastuso,
Atelopus patazensis,
Atelopus pedimarmoratus,
Atelopus peruensis,
Atelopus petersi,
Atelopus petriruizi,CRITICALLY_ENDANGERED
Atelopus pictiventris,CRITICALLY_ENDANGERED
Atelopus pinangoi,CRITICALLY_ENDANGERED
Atelopus planispina,CRITICALLY_ENDANGERED
Atelopus podocarpus,
Atelopus pulcher,VULNERABLE
Atelopus pyrodactylus,CRITICALLY_ENDANGERED
Atelopus quimbaya,CRITICALLY_ENDANGERED
Atelopus reticulatus,DATA_DEFICIENT
Atelopus sanjosei,CRITICALLY_ENDANGERED
Atelopus seminiferus,ENDANGERED
Atelopus senex,EXTINCT
Atelopus sernai,CRITICALLY_ENDANGERED
Atelopus simulatus,CRITICALLY_ENDANGERED
Atelopus siranus,DATA_DEFICIENT
Atelopus sonsonensis,CRITICALLY_ENDANGERED
Atelopus sorianoi,CRITICALLY_ENDANGERED
Atelopus spumarius,LEAST_CONCERN
Atelopus spurrelli,
Atelopus subornatus,
Atelopus tamaense,
Atelopus tricolor,
Atelopus varius,CRITICALLY_ENDANGERED
Atelopus vogli,EXTINCT
Atelopus walkeri,DATA_DEFICIENT
Atelopus zeteki,
Bufo ailaoanus,
Bufo aspinius,
Bufo bankorensis,LEAST_CONCERN
Bufo bufo,
Bufo cryptotympanicus,
Bufo eichwaldi,VULNERABLE
Bufo gargarizans,LEAST_CONCERN
Bufo japonicus,LEAST_CONCERN
Bufo luchunnicus,CRITICALLY_ENDANGERED
Bufo menglianus,DATA_DEFICIENT
Bufo pageoti,LEAST_CONCERN
Bufo stejnegeri,LEAST_CONCERN
Bufo tibetanus,
Bufo torrenticola,LEAST_CONCERN
Bufo tuberculatus,
Bufo tuberospinius,
Bufo verrucosissimus,
Bufoides meghalayanus,
Capensibufo rosei,
Capensibufo tradouwi,
Churamiti maridadi,
Crepidophryne chompipe,
Crepidophryne epiotica,
Crepidophryne guanacaste,
Dendrophryniscus berthalutzae,
Dendrophryniscus bokermanni,
Dendrophryniscus brevipollicatus,
Dendrophryniscus carvalhoi,
Dendrophryniscus krausae,
Dendrophryniscus leucomystax,
Dendrophryniscus minutus,
Dendrophryniscus oreites,
Dendrophryniscus organensis,
Dendrophryniscus stawiarskyi,
Didynamipus sjostedti,
Duttaphrynus arabicus,
Duttaphrynus atukoralei,
Duttaphrynus beddomii,
Duttaphrynus brevirostris,
Duttaphrynus crocus,
Duttaphrynus cyphosus,
Duttaphrynus dhufarensis,
Duttaphrynus dodsoni,
Duttaphrynus himalayanus,
Duttaphrynus hololius,
Duttaphrynus kiphirensis,
Duttaphrynus kotagamai,
Duttaphrynus mamitensis,
Duttaphrynus manipurensis,
Duttaphrynus melanostictus,
Duttaphrynus microtympanum,
Duttaphrynus mizoramensis,
Duttaphrynus nagalandensis,
Duttaphrynus noellerti,
Duttaphrynus olivaceus,
Duttaphrynus pariet alis,
Duttaphrynus scaber,
Duttaphrynus scorteccii,
Duttaphrynus silentvalleyensis,
Duttaphrynus stomaticus,
Duttaphrynus stuarti,
Duttaphrynus sumatranus,
Duttaphrynus totol,
Duttaphrynus valhallae,
Duttaphrynus wokhaensis,
Epidalea calamita,
Frostius erythrophthalmus,
Frostius pernambucensis,
Ghatophryne ornata,
Ghatophryne rubigina,
Incilius alvarius,
Incilius aucoinae,
Incilius bocourti,
Incilius campbelli,
Incilius canaliferus,
Incilius cavifrons,
Incilius coccifer,
Incilius coniferus,
Incilius cristatus,
Incilius cycladen,
Incilius fastidiosus,
Incilius gemmifer,
Incilius holdridgei,
Incilius ibarrai,
Incilius intermedius,
Incilius karenlipsae,
Incilius leucomyos,
Incilius luetkenii,
Incilius macrocristatus,
Incilius marmoreus,
Incilius mazatlanensis,
Incilius melanochlorus,
Incilius nebulifer,
Incilius occidentalis,
Incilius periglenes,
Incilius peripatetes,
Incilius perplexus,
Incilius pisinnus,
Incilius porteri,
Incilius signifer,
Incilius spiculatus,
Incilius tacanensis,
Incilius tutelarius,
Incilius valliceps,
Ingerophrynus biporcatus,
Ingerophrynus celebensis,
Ingerophrynus claviger,
Ingerophrynus divergens,LEAST_CONCERN
Ingerophrynus galeatus,
Ingerophrynus gollum,ENDANGERED
Ingerophrynus kumquat,
Ingerophrynus ledongensis,
Ingerophrynus macrotis,
Ingerophrynus parvus,
Ingerophrynus philippinicus,
Ingerophrynus quadriporcatus,
Laurentophryne parkeri,
Leptophryne borbonica,
Leptophryne cruentata,
Melanophryniscus admirabilis,
Melanophryniscus alipioi,
Melanophryniscus atroluteus,
Melanophryniscus cambaraensis,
Melanophryniscus cupreuscapularis,
Melanophryniscus devincenzii,LEAST_CONCERN
Melanophryniscus dorsalis,
Melanophryniscus estebani,
Melanophryniscus fulvoguttatus,LEAST_CONCERN
Melanophryniscus klappenbachi,
Melanophryniscus krauczuki,LEAST_CONCERN
Melanophryniscus langonei,
Melanophryniscus macrogranulosus,ENDANGERED
Melanophryniscus montevidensis,NEAR_THREATENED
Melanophryniscus moreirae,NEAR_THREATENED
Melanophryniscus orejasmirandai,
Melanophryniscus pachyrhynus,
Melanophryniscus paraguayensis,VULNERABLE
Melanophryniscus rubriventris,LEAST_CONCERN
Melanophryniscus sanmartini,
Melanophryniscus simplex,
Melanophryniscus spectabilis,
Melanophryniscus stelzneri,LEAST_CONCERN
Melanophryniscus tumifrons,LEAST_CONCERN
Melanophryniscus vilavelhensis,ENDANGERED
Mertensophryne anotis,LEAST_CONCERN
Mertensophryne howelli,
Mertensophryne lindneri,LEAST_CONCERN
Mertensophryne lonnbergi,
Mertensophryne loveridgei,LEAST_CONCERN
Mertensophryne melanopleura,
Mertensophryne micranotis,LEAST_CONCERN
Mertensophryne mocquardi,
Mertensophryne nairobiensis,
Mertensophryne nyikae,
Mertensophryne schmidti,
Mertensophryne taitana,LEAST_CONCERN
Mertensophryne usambarae,
Mertensophryne uzunguensis,
Metaphryniscus sosai,NEAR_THREATENED
Nannophryne apolobambica,CRITICALLY_ENDANGERED
Nannophryne cophotis,CRITICALLY_ENDANGERED
Nannophryne corynetes,ENDANGERED
Nannophryne variegata,LEAST_CONCERN
Nectophryne afra,LEAST_CONCERN
Nectophryne batesii,
Nectophrynoides asperginis,
Nectophrynoides cryptus,
Nectophrynoides frontierei,
Nectophrynoides laevis,
Nectophrynoides laticeps,
Nectophrynoides minutus,
Nectophrynoides paulae,
Nectophrynoides poyntoni,
Nectophrynoides pseudotornieri,
Nectophrynoides tornieri,
Nectophrynoides vestergaardi,ENDANGERED
Nectophrynoides viviparus,
Nectophrynoides wendyae,CRITICALLY_ENDANGERED
Nimbaphrynoides occidentalis,
Oreophrynella cryptica,
Oreophrynella dendronastes,DATA_DEFICIENT
Oreophrynella huberi,
Oreophrynella macconnelli,
Oreophrynella nigra,
Oreophrynella quelchii,
Oreophrynella seegobini,VULNERABLE
Oreophrynella vasquezi,
Oreophrynella weiassipuensis,
Osornophryne antisana,
Osornophryne bufoniformis,
Osornophryne guacamayo,
Osornophryne percrassa,
Osornophryne puruanta,
Osornophryne sumacoensis,
Osornophryne talipes,
Parapelophryne scalpta,VULNERABLE
Pedostibes everetti,
Pedostibes hosii,
Pedostibes kempi,
Pedostibes rugosus,
Pedostibes tuberculosus,LEAST_CONCERN
Pelophryne albotaeniata,
Pelophryne api,NEAR_THREATENED
Pelophryne brevipes,LEAST_CONCERN
Pelophryne guentheri,LEAST_CONCERN
Pelophryne lighti,
Pelophryne linanitensis,CRITICALLY_ENDANGERED
Pelophryne misera,LEAST_CONCERN
Pelophryne murudensis,
Pelophryne rhopophilia,VULNERABLE
Pelophryne saravacensis,
Pelophryne signata,LEAST_CONCERN
Peltophryne cataulaciceps,ENDANGERED
Peltophryne empusa,LEAST_CONCERN
Peltophryne florentinoi,ENDANGERED
Peltophryne fluviatica,
Peltophryne fracta,
Peltophryne fustiger,
Peltophryne guentheri,LEAST_CONCERN
Peltophryne gundlachi,
Peltophryne lemur,
Peltophryne longinasus,
Peltophryne peltocephala,
Peltophryne taladai,
Phrynoidis aspera,
Phrynoidis juxtaspera,
Poyntonophrynus beiranus,LEAST_CONCERN
Poyntonophrynus damaranus,DATA_DEFICIENT
Poyntonophrynus dombensis,LEAST_CONCERN
Poyntonophrynus fenoulheti,LEAST_CONCERN
Poyntonophrynus grandisonae,DATA_DEFICIENT
Poyntonophrynus hoeschi,LEAST_CONCERN
Poyntonophrynus kavangensis,LEAST_CONCERN
Poyntonophrynus lughensis,LEAST_CONCERN
Poyntonophrynus parkeri,LEAST_CONCERN
Poyntonophrynus vertebralis,LEAST_CONCERN
Pseudepidalea balearica,
Pseudepidalea boulengeri,
Pseudepidalea brongersmai,
Pseudepidalea latastii,
Pseudepidalea luristanica,
Pseudepidalea oblonga,
Pseudepidalea pewzowi,
Pseudepidalea pseudoraddei,
Pseudepidalea raddei,
Pseudepidalea sicula,
Pseudepidalea surda,
Pseudepidalea turanensis,
Pseudepidalea variabilis,
Pseudepidalea viridis,
Pseudepidalea zamdaensis,
Pseudepidalea zugmayeri,
Pseudobufo subasper,
Rhaebo andinophrynoides,
Rhaebo blombergi,
Rhaebo caeruleostictus,CRITICALLY_ENDANGERED
Rhaebo glaberrimus,
Rhaebo guttatus,LEAST_CONCERN
Rhaebo haematiticus,LEAST_CONCERN
Rhaebo hypomelas,LEAST_CONCERN
Rhaebo lynchi,DATA_DEFICIENT
Rhaebo nasicus,
Rhinella abei,
Rhinella achalensis,
Rhinella achavali,LEAST_CONCERN
Rhinella acrolopha,ENDANGERED
Rhinella acutirostris,LEAST_CONCERN
Rhinella alata,LEAST_CONCERN
Rhinella amabilis,CRITICALLY_ENDANGERED
Rhinella amboroensis,DATA_DEFICIENT
Rhinella arborescandens,ENDANGERED
Rhinella arenarum,LEAST_CONCERN
Rhinella arequipensis,ENDANGERED
Rhinella arunco,NEAR_THREATENED
Rhinella atacamensis,VULNERABLE
Rhinella azarai,LEAST_CONCERN
Rhinella bergi,
Rhinella bernardoi,DATA_DEFICIENT
Rhinella boulengeri,
Rhinella castaneotica,LEAST_CONCERN
Rhinella centralis,LEAST_CONCERN
Rhinella ceratophrys,
Rhinella cerradensis,
Rhinella chavin,
Rhinella chrysophora,CRITICALLY_ENDANGERED
Rhinella cristinae,ENDANGERED
Rhinella crucifer,LEAST_CONCERN
Rhinella dapsilis,LEAST_CONCERN
Rhinella diptycha,
Rhinella dorbignyi,
Rhinella fernandezae,
Rhinella festae,LEAST_CONCERN
Rhinella fissipes,DATA_DEFICIENT
Rhinella gallardoi,ENDANGERED
Rhinella gnustae,
Rhinella granulosa,LEAST_CONCERN
Rhinella henseli,
Rhinella hoogmoedi,LEAST_CONCERN
Rhinella humboldti,
Rhinella icterica,
Rhinella inca,LEAST_CONCERN
Rhinella iserni,DATA_DEFICIENT
Rhinella jimi,
Rhinella justinianoi,VULNERABLE
Rhinella leptoscelis,
Rhinella lescurei,LEAST_CONCERN
Rhinella limensis,LEAST_CONCERN
Rhinella lindae,ENDANGERED
Rhinella macrorhina,
Rhinella magnussoni,
Rhinella major,LEAST_CONCERN
Rhinella manu,
Rhinella margaritifera,LEAST_CONCERN
Rhinella marina,
Rhinella martyi,
Rhinella merianae,
Rhinella mirandaribeiroi,LEAST_CONCERN
Rhinella multiverrucosa,DATA_DEFICIENT
Rhinella nattereri,
Rhinella nesiotes,
Rhinella nicefori,ENDANGERED
Rhinella ocellata,LEAST_CONCERN
Rhinella ornata,LEAST_CONCERN
Rhinella paraguayensis,
Rhinella poeppigii,LEAST_CONCERN
Rhinella pombali,
Rhinella proboscidea,LEAST_CONCERN
Rhinella pygmaea,LEAST_CONCERN
Rhinella quechua,
Rhinella roqueana,LEAST_CONCERN
Rhinella rostrata,CRITICALLY_ENDANGERED
Rhinella rubescens,LEAST_CONCERN
Rhinella rubropunctata,VULNERABLE
Rhinella ruizi,VULNERABLE
Rhinella rumbolli,
Rhinella schneideri,
Rhinella scitula,LEAST_CONCERN
Rhinella sclerocephala,VULNERABLE
Rhinella spinulosa,LEAST_CONCERN
Rhinella stanlaii,LEAST_CONCERN
Rhinella sternosignata,LEAST_CONCERN
Rhinella tacana,LEAST_CONCERN
Rhinella tenrec,ENDANGERED
Rhinella Truebae,
Rhinella vellardi,ENDANGERED
Rhinella veraguensis,
Rhinella veredas,LEAST_CONCERN
Rhinella yanachaga,ENDANGERED
Sabahphrynus maculatus,ENDANGERED
Schismaderma carens,
Truebella skoptes,DATA_DEFICIENT
Truebella tothastes,
Vandijkophrynus amatolicus,
Vandijkophrynus angusticeps,LEAST_CONCERN
Vandijkophrynus gariepensis,LEAST_CONCERN
Vandijkophrynus inyangae,VULNERABLE
Vandijkophrynus robinsoni,LEAST_CONCERN
Werneria bambutensis,
Werneria iboundji,
Werneria mertensiana,CRITICALLY_ENDANGERED
Werneria preussi,ENDANGERED
Werneria submontana,ENDANGERED
Werneria tandyi,
Wolterstorffina chirioi,
Wolterstorffina mirei,
Wolterstorffina parvipalmata,
Xanthophryne koynayensis,
Xanthophryne tigerina,
Calyptocephalella gayi,
Telmatobufo australis,
Telmatobufo bullocki,
Telmatobufo venustus,
Ikakogi tayrona,
Centrolene acanthidiocephalum,
Centrolene altitudinale,
Centrolene antioquiense,
Centrolene audax,
Centrolene azulae,
Centrolene bacatum,
Centrolene ballux,
Centrolene buckleyi,
Centrolene condor,
Centrolene daidaleum,
Centrolene durrellorum,
Centrolene fernandoi,
Centrolene geckoideum,
Centrolene gemmatum,
Centrolene guanacarum,
Centrolene heloderma,
Centrolene hesperium,
Centrolene huilense,
Centrolene hybrida,
Centrolene lemniscatum,
Centrolene litorale,
Centrolene lynchi,
Centrolene medemi,
Centrolene muelleri,DATA_DEFICIENT
Centrolene notostictum,LEAST_CONCERN
Centrolene paezorum,DATA_DEFICIENT
