Species,IUCN_Status
Centrolene peristictum,LEAST_CONCERN
Centrolene petrophilum,
Centrolene pipilatum,
Centrolene quindianum,
Centrolene robledoi,LEAST_CONCERN
Centrolene sanchezi,
Centrolene savagei,
Centrolene scirtetes,
Centrolene solitaria,
Centrolene venezuelense,
Chimerella mariaelenae,
Cochranella adenocheira,
Cochranella balionota,
Cochranella croceopodes,
Cochranella duidaeana,
Cochranella euhystrix,
Cochranella euknemos,
Cochranella geijskesi,
Cochranella granulosa,
Cochranella mache,
Cochranella megista,
Cochranella nola,
Cochranella orejuela,
Cochranella phryxa,
Cochranella ramirezi,
Cochranella resplendens,
Cochranella ritae,
Cochranella riveroi,
Cochranella xanthocheridia,
Espadarana andina,LEAST_CONCERN
Espadarana callistomma,
Espadarana prosoblepon,
Nymphargus anomalus,
Nymphargus armatus,
Nymphargus bejaranoi,
Nymphargus buenaventura,
Nymphargus cariticommatus,
Nymphargus chami,
Nymphargus chancas,
Nymphargus cochranae,LEAST_CONCERN
Nymphargus cristinae,
Nymphargus garciae,
Nymphargus grandisonae,
Nymphargus griffithsi,
Nymphargus ignotus,
Nymphargus laurae,
Nymphargus luminosus,
Nymphargus luteopunctatus,
Nymphargus mariae,
Nymphargus megacheirus,CRITICALLY_ENDANGERED
Nymphargus mixomaculatus,
Nymphargus nephelophila,
Nymphargus ocellatus,DATA_DEFICIENT
Nymphargus oreonympha,
Nymphargus phenax,
Nymphargus pluvialis,ENDANGERED
Nymphargus posadae,
Nymphargus prasinus,
Nymphargus puyoensis,
Nymphargus rosada,
Nymphargus ruizi,
Nymphargus siren,
Nymphargus spilotus,NEAR_THREATENED
Nymphargus Truebae,
