Model,F1_Score_Weighted,Precision,Recall,ROC_AUC
Random Forest,0.9970255091690161,0.9970263769941983,0.9970343520883104,0.9997163653290573
XGBoost,0.9973599532314492,0.9973584549925864,0.9973638685229426,0.9997000609911457
Logistic Regression,0.9397942159552196,0.9524399128391334,0.9342614712908807,0.9819950702371114
Decision Tree,0.9952290546995572,0.9952384628092089,0.9952220116978334,0.9881005317114432
SVM,0.9665988880469771,0.972802767924912,0.9644122250597249,0.9971844802769959
Rule-Based Baseline,0.905456155049947,0.9316371182025209,0.9260235604250762,
